line	method	op_start	op_end	vtt_start	text
0	cover	00:00.54	00:02.54	00:02.17	富 名声 力
1	cover	00:03.31	00:07.40	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	cover	00:07.63	00:11.24	00:08.51	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	cover	00:11.27	00:15.19	00:12.26	俺の財宝か？\N欲しけりゃくれてやる
4	cover	00:15.37	00:18.92	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
5	cover	00:21.43	00:23.90	00:22.27	男たちは\Nグランドラインを目指し
6	cover	00:23.93	00:25.73	00:24.90	夢を追い続ける
7	cover	00:26.11	00:29.27	00:27.03	世は まさに大海賊時代！
8	interp1	02:38.60	02:41.64	01:58.91	グッシッシッシッ\N今日も大漁だぜ
9	cover	02:41.77	02:44.83	02:02.08	こんだけあれば バギー様に\N怒られなくて済むな
10	cover	02:45.55	02:47.53	02:06.38	おい あれ見ろよ
11	cover	02:52.65	02:54.03	02:13.22	何だ？ あの船
12	cover	03:07.49	03:08.24	02:28.27	あっ 女だぜ
13	cover	03:08.27	03:11.43	02:29.52	グッシッシッシッ\Nおい お前 どうした？
14	cover+snap	03:13.29	03:16.83	02:34.53	ああ… 私は夢でも\N見てるのかしら
15	cover	03:16.97	03:19.79	02:38.20	こんな広い海で\N人に出会えるなんて
16	cover	03:20.35	03:21.80	02:41.70	どなたか存じませんが―
17	cover	03:21.83	03:24.96	02:43.08	水を… 水を１杯\N頂けませんか？
18	cover	03:25.27	03:27.74	02:46.67	お金なら\Nいくらでも差し上げます
19	cover	03:27.77	03:29.61	02:49.29	どうか助けて…
20	cover	03:30.35	03:32.46	02:51.63	いいとも 助けてやろう
21	cover	03:32.49	03:35.86	02:54.05	しかし 先に宝を\N確認しとかねえとなあ
22	cover	03:35.89	03:37.23	02:57.18	邪魔するぜ
23	-	-	-	02:58.39	エッヘッヘッヘ
24	interp	03:40.68	03:43.36	03:01.60	ん？ 開かねえな
25	cover	03:43.79	03:44.66	03:04.60	こうか？
26	-	-	-	03:07.19	うわっ！
27	-	-	-	03:08.85	アッハハッ
28	cover	03:49.81	03:53.52	03:11.19	よろしければ差し上げますわ\N私の船ごと
29	cover	03:53.55	03:55.22	03:14.78	うわっ\N俺たちの船！
30	cover	03:55.25	03:57.45	03:17.03	てめえ だましたな！
31	cover	03:58.71	04:02.38	03:21.41	南の空に低い雲を伴う\N寒冷前線を発見
32	cover	04:02.41	04:05.64	03:25.37	まもなく激しい風とともに\Nスコールになるでしょう
33	cover	04:05.67	04:08.13	03:28.54	小さな船は転覆に ご注意
34	-	-	-	03:35.09	ああっ…
35	cover	04:19.99	04:21.41	03:43.14	ビンゴ！
36	cover	04:22.81	04:23.82	03:45.56	じゃあね！
37	interp1	04:24.18	04:26.73	03:46.94	お宝はもらっとくわ\Nアッハッハッ…
38	cover	04:26.85	04:31.06	03:49.60	待て このアマ　覚えてろ…
39	-	-	-	03:57.44	「ルフィの過去！\N赤髪のシャンクス登場」
40	cover	01:50.75	01:52.72	04:03.70	はあ 腹減った
41	cover	01:52.75	01:55.54	04:07.66	いつになったら 陸に着くんだよ
42	cover+snap	01:55.57	01:56.83	04:10.33	さあな
43	cover	01:57.03	02:00.06	04:11.71	なんせ 風任せ 波任せだもんな
44	-	-	-	04:14.80	着くかな？
45	-	-	-	04:16.42	まっ きっと着くよ いつかね
46	-	-	-	04:19.05	うん？
47	cover	02:01.47	02:04.06	04:20.09	大体 海賊王を目指すお前が―
48	cover	02:04.09	02:06.65	04:22.72	航海術 持ってねえってのは\Nおかしいんじゃねえか？
49	cover	02:06.73	02:09.69	04:25.39	おかしくはねえよ\N漂流してたんだもん
50	cover	02:09.77	02:13.82	04:28.48	お前こそ 海をさすらう\N賞金稼ぎじゃなかったのか？
51	cover	02:13.97	02:17.52	04:32.65	俺は そもそも賞金稼ぎだと\N名乗った覚えはねえ
52	-	-	-	04:36.32	ああ…
53	cover	02:19.31	02:22.14	04:38.40	ある男を捜しに\Nとりあえず海に出たら―
54	cover	02:22.17	02:24.45	04:41.53	自分の村へも\N帰れなくなっちまって―
55	cover	02:24.97	02:28.75	04:44.41	仕方ねえから海賊船を狙って\N生活費を稼いでただけだ
